Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hopena.cervical-cancer-cds.json	6743	-	0	0	0	0	0	0	13	91	0	0	0	0	0	0	0	0	0	0	81	66	0	0	0	4	0	1
input/resources/PlanDefinition-CervicalCancerFollowUp.json	12311	7	0	0	2	0	0	0	2	54	0	0	0	0	0	0	0	0	0	0	28	26	0	0	0	1	0	0
input/resources/PlanDefinition-CervicalCancerScreening.json	10218	5	0	0	0	0	0	0	2	418	0	0	0	0	0	0	0	0	0	0	23	17	0	0	0	1	0	0
input/resources/PlanDefinition-CervicalCancerTreatment.json	8999	5	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	1	0	0	18	14	0	0	0	1	0	0
input/resources/PlanDefinition-CervicalCancerTriage.json	8307	4	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
input/resources/library-CervicalCancerFollowUpDecision.unprocessed	591	1	0	0	0	0	0	0	1	737	0	0	0	0	0	0	0	0	0	0	220	39	0	0	0	10	0	1
input/resources/library-CervicalCancerScreeningCommon.unprocessed	591	1	0	0	0	0	0	0	2	1757	0	0	0	0	0	0	0	0	0	0	347	76	0	0	0	19	0	0
input/resources/library-CervicalCancerScreeningDecision.unprocessed	595	1	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	150	25	0	0	0	9	0	0
input/resources/library-CervicalCancerTreatmentDecision.unprocessed	595	1	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	296	29	0	0	0	13	0	0
input/resources/library-CervicalCancerTriageDecision.unprocessed	580	1	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	94	18	0	0	0	3	0	0
/fsh-generated/includes/fsh-link-references.md	275	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1845	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/testing.md	2214	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/methodology.md	4079	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/deployment.md	2560	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	2701	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/architecture.md	2617	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/license.md	593	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/algorithm.md	2937	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/decision-tables.md	8839	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/changes.md	1065	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/interpretation-register.md	13183	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/downloads.md	934	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/algorithm-5-hpv-via-textualist.dmn	39667	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/algorithm-5-hpv-via-purposive.html	33675	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/algorithm-5-hpv-via-textualist.html	34836	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/input/images/algorithm-5-hpv-via-purposive.dmn	39424	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	5914	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
